waktu_mulai_livestream,durasi_livestream,username_afiliator,jml_keseluruhan_pengikut,jml_pengikut_baru,penonton,GPM,jlm_penjualan
09/21 06:47,03:19,@alicenorinofficial,1690000,81790,8060,773940,49
09/21 10:10,01:20,@alicenorinofficial,1690000,81790,2970,565590,13
09/21 19:04,02:19,@alicenorinofficial,1690000,81790,8910,755900,54
09/21 21:36,02:24,@alicenorinofficial,1690000,81790,8160,697880,44
09/22 19:59,02:46,@alicenorinofficial,1690000,81790,810,1710000,911
09/23 08:04,15:51,@alicenorinofficial,1690000,81790,22080,1390000,3030
09/24 08:14,15:45,@alicenorinofficial,1690000,81790,136810,896560,921
09/25 06:03,01:03,@alicenorinofficial,1690000,81790,2830,2680000,52
09/25 07:15,02:03,@alicenorinofficial,1690000,81790,480,3080000,98
09/25 09:32,01:28,@alicenorinofficial,1690000,81790,4570,2760000,85
09/25 19:31,04:29,@alicenorinofficial,1690000,81790,530,1020000,48
09/26 06:14,02:30,@alicenorinofficial,1690000,81790,111,951930,1
09/26 08:45,02:17,@alicenorinofficial,1690000,81790,70,0,0
09/26 19:56,04:07,@alicenorinofficial,1690000,81790,5770,1740000,848
09/27 06:05,04:55,@alicenorinofficial,1690000,81790,13240,441350,58
09/27 19:01,04:55,@alicenorinofficial,1690000,81790,23690,464890,108
09/28 07:04,16:57,@alicenorinofficial,1690000,81790,383,1430000,5
09/29 07:23,02:50,@alicenorinofficial,1690000,81790,9340,2030000,249
09/29 10:15,01:55,@alicenorinofficial,1690000,81790,6560,1930000,170
09/29 19:20,04:37,@alicenorinofficial,1690000,81790,64120,2350000,1510
09/30 07:10,11:59,@alicenorinofficial,1690000,81790,96970,695830,651
09/30 19:15,04:41,@alicenorinofficial,1690000,81790,52770,873370,334
09/01 05:57,09:42,@louissescarlettfamily,7260000,256910,1040000,1380000,5490
09/01 18:28,04:15,@louissescarlettfamily,7260000,256910,419240,1780000,2470
09/02 05:59,06:32,@louissescarlettfamily,7260000,256910,836330,883160,2750
09/02 18:30,05:25,@louissescarlettfamily,7260000,256910,814760,1020000,3090
09/03 05:57,08:14,@louissescarlettfamily,7260000,256910,379040,3320000,3900
09/03 18:30,02:01,@louissescarlettfamily,7260000,256910,181560,678720,786
09/04 05:57,08:09,@louissescarlettfamily,7260000,256910,428220,3050000,4810
09/04 15:59,01:01,@louissescarlettfamily,7260000,256910,103860,586990,272
09/04 18:27,04:34,@louissescarlettfamily,7260000,256910,264690,2740000,2400
09/05 05:57,07:38,@louissescarlettfamily,7260000,256910,452820,2350000,5130
09/05 15:00,01:00,@louissescarlettfamily,7260000,256910,52550,12170,13
09/05 17:00,01:01,@louissescarlettfamily,7260000,256910,79470,496550,363
09/05 18:57,04:50,@louissescarlettfamily,7260000,256910,348750,2350000,3910
09/06 05:57,08:39,@louissescarlettfamily,7260000,256910,575010,2380000,5020
09/06 16:30,01:00,@louissescarlettfamily,7260000,256910,8410,2470000,586
09/06 18:27,04:33,@louissescarlettfamily,7260000,256910,304960,1970000,2300
09/07 05:57,08:03,@louissescarlettfamily,7260000,256910,398120,3930000,4820
09/07 16:00,01:00,@louissescarlettfamily,7260000,256910,59710,2250000,386
09/07 17:57,05:08,@louissescarlettfamily,7260000,256910,365720,3520000,3140
09/08 05:57,08:14,@louissescarlettfamily,7260000,256910,541680,2620000,6270
09/08 15:30,01:00,@louissescarlettfamily,7260000,256910,82970,1230000,583
09/08 17:58,05:04,@louissescarlettfamily,7260000,256910,281410,3480000,4190
09/09 05:57,09:57,@louissescarlettfamily,7260000,256910,767480,4270000,10730
09/09 15:59,08:02,@louissescarlettfamily,7260000,256910,445960,4320000,6460
09/10 05:57,08:03,@louissescarlettfamily,7260000,256910,468070,1700000,4970
09/10 14:30,01:00,@louissescarlettfamily,7260000,256910,77660,513300,400
09/10 16:00,01:01,@louissescarlettfamily,7260000,256910,58720,474520,535
09/11 05:57,08:16,@louissescarlettfamily,7260000,256910,413190,2110000,3900
09/11 20:15,02:00,@louissescarlettfamily,7260000,256910,169050,1280000,1530
09/12 05:57,08:15,@louissescarlettfamily,7260000,256910,455490,2310000,4720
09/12 15:15,01:00,@louissescarlettfamily,7260000,256910,5520,1220000,629
09/12 18:27,04:33,@louissescarlettfamily,7260000,256910,295780,2550000,3030
09/13 05:57,01:25,@louissescarlettfamily,7260000,256910,73470,956860,686
09/13 07:33,06:35,@louissescarlettfamily,7260000,256910,28160,3150000,2630
09/13 17:27,04:33,@louissescarlettfamily,7260000,256910,208380,3220000,1850
09/14 05:57,04:48,@louissescarlettfamily,7260000,256910,206420,2640000,1440
09/14 11:00,01:00,@louissescarlettfamily,7260000,256910,70390,220170,337
09/14 17:27,06:04,@louissescarlettfamily,7260000,256910,302890,2610000,1590
09/15 05:57,08:43,@louissescarlettfamily,7260000,256910,350950,1060000,1200
09/15 18:27,04:04,@louissescarlettfamily,7260000,256910,175060,1060000,612
09/16 05:57,07:32,@louissescarlettfamily,7260000,256910,267830,2070000,2720
09/16 16:59,01:01,@louissescarlettfamily,7260000,256910,53240,976650,233
09/16 18:29,01:00,@louissescarlettfamily,7260000,256910,39520,359200,25
09/17 05:15,06:35,@louissescarlettfamily,7260000,256910,291410,1860000,1510
09/17 13:29,03:00,@louissescarlettfamily,7260000,256910,135740,629200,1030
09/17 17:34,05:18,@louissescarlettfamily,7260000,256910,205580,871180,899
09/18 05:57,08:08,@louissescarlettfamily,7260000,256910,30570,1890000,3360
09/18 18:14,04:46,@louissescarlettfamily,7260000,256910,179910,2010000,1540
09/19 05:57,08:08,@louissescarlettfamily,7260000,256910,290710,2580000,1480
09/19 17:57,04:56,@louissescarlettfamily,7260000,256910,182520,2410000,795
09/20 05:57,01:44,@louissescarlettfamily,7260000,256910,70070,2730000,565
09/20 07:50,05:18,@louissescarlettfamily,7260000,256910,134040,2550000,1000
09/20 14:30,02:00,@louissescarlettfamily,7260000,256910,60360,77430,37
09/20 16:45,01:00,@louissescarlettfamily,7260000,256910,52030,457900,172
09/20 18:57,04:34,@louissescarlettfamily,7260000,256910,184710,1690000,1730
09/21 05:57,08:03,@louissescarlettfamily,7260000,256910,275130,891650,1130
09/21 19:27,03:09,@louissescarlettfamily,7260000,256910,118380,664170,354
09/22 05:57,14:05,@louissescarlettfamily,7260000,256910,1140000,948590,5370
09/23 06:28,05:56,@louissescarlettfamily,7260000,256910,489690,2050000,2350
09/23 12:32,05:58,@louissescarlettfamily,7260000,256910,355960,1560000,1930
09/24 06:06,06:33,@louissescarlettfamily,7260000,256910,390910,1830000,2860
09/24 16:00,01:01,@louissescarlettfamily,7260000,256910,50240,83160,11
09/24 18:57,03:56,@louissescarlettfamily,7260000,256910,191310,1990000,1630
09/25 05:57,08:33,@louissescarlettfamily,7260000,256910,267210,3830000,3490
09/25 16:57,06:20,@louissescarlettfamily,7260000,256910,3650,2520000,46
09/26 06:03,03:07,@louissescarlettfamily,7260000,256910,1670,2470000,17
09/26 10:44,02:43,@louissescarlettfamily,7260000,256910,10420,1900000,924
09/26 13:30,01:00,@louissescarlettfamily,7260000,256910,27890,346740,27
09/26 14:45,01:00,@louissescarlettfamily,7260000,256910,34320,119940,31
09/26 16:00,01:00,@louissescarlettfamily,7260000,256910,30270,100910,5
09/26 18:57,04:43,@louissescarlettfamily,7260000,256910,183340,1020000,1110
09/27 05:58,02:32,@louissescarlettfamily,7260000,256910,96780,1230000,497
09/27 09:08,05:52,@louissescarlettfamily,7260000,256910,194580,1510000,1310
09/27 18:57,04:08,@louissescarlettfamily,7260000,256910,154520,1450000,1100
09/29 05:57,02:52,@louissescarlettfamily,7260000,256910,154680,2600000,1490
09/29 09:57,04:02,@louissescarlettfamily,7260000,256910,178360,2570000,1690
09/29 15:00,01:00,@louissescarlettfamily,7260000,256910,28830,141290,17
09/29 16:15,01:00,@louissescarlettfamily,7260000,256910,32260,152200,12
09/29 18:27,04:04,@louissescarlettfamily,7260000,256910,137670,1310000,751
09/30 05:57,08:03,@louissescarlettfamily,7260000,256910,279140,657620,1010
09/30 19:00,02:00,@louissescarlettfamily,7260000,256910,93990,3460000,792
09/01 10:30,02:17,@putrikuss_,327570,31500,76070,563700,700
09/01 19:24,01:38,@putrikuss_,327570,31500,53770,657740,572
09/02 09:09,03:05,@putrikuss_,327570,31500,67750,834360,929
09/02 18:57,01:32,@putrikuss_,327570,31500,17810,832440,244
09/03 09:51,03:39,@putrikuss_,327570,31500,52790,1420000,1220
09/04 10:21,01:51,@putrikuss_,327570,31500,28830,1980000,938
09/04 18:58,01:35,@putrikuss_,327570,31500,20260,1980000,658
09/05 10:21,02:01,@putrikuss_,327570,31500,24440,1610000,645
09/05 18:57,01:33,@putrikuss_,327570,31500,20920,1610000,552
09/06 10:24,01:54,@putrikuss_,327570,31500,23280,2900000,1110
09/07 09:05,04:29,@putrikuss_,327570,31500,96410,910160,1420
09/08 10:30,01:52,@putrikuss_,327570,31500,45960,1460000,1110
09/08 19:06,01:13,@putrikuss_,327570,31500,4680,1470000,113
09/09 10:32,02:58,@putrikuss_,327570,31500,42960,53760,67
09/10 10:27,03:04,@putrikuss_,327570,31500,47730,2070000,1580
09/10 19:33,01:33,@putrikuss_,327570,31500,32190,2370000,1210
09/11 10:34,01:31,@putrikuss_,327570,31500,17240,2420000,696
09/11 19:02,01:31,@putrikuss_,327570,31500,20440,2420000,827
09/12 10:30,01:56,@putrikuss_,327570,31500,2680,1570000,676
09/12 19:01,01:31,@putrikuss_,327570,31500,22170,1570000,559
09/13 10:37,01:44,@putrikuss_,327570,31500,2030,1950000,648
09/13 19:04,01:35,@putrikuss_,327570,31500,15850,1950000,505
09/14 10:27,02:23,@putrikuss_,327570,31500,33010,1170000,630
09/14 19:35,01:37,@putrikuss_,327570,31500,28950,1170000,551
09/15 10:30,02:13,@putrikuss_,327570,31500,31380,0,17
09/15 18:56,01:48,@putrikuss_,327570,31500,29810,0,16
09/16 09:06,03:01,@putrikuss_,327570,31500,40660,3000000,1940
09/16 18:48,01:30,@putrikuss_,327570,31500,20240,3000000,968
09/17 10:23,02:10,@putrikuss_,327570,31500,31960,1560000,837
09/17 18:55,01:44,@putrikuss_,327570,31500,22710,1300000,505
09/18 10:30,01:43,@putrikuss_,327570,31500,18060,2080000,610
09/18 18:54,02:33,@putrikuss_,327570,31500,32790,2430000,1260
09/19 10:41,01:45,@putrikuss_,327570,31500,2290,2020000,733
09/19 19:07,01:36,@putrikuss_,327570,31500,2220,2020000,709
09/20 10:34,02:02,@putrikuss_,327570,31500,22830,1710000,618
09/20 19:17,02:05,@putrikuss_,327570,31500,32850,1710000,889
09/21 19:35,02:31,@putrikuss_,327570,31500,47580,1920000,1450
09/22 10:19,02:07,@putrikuss_,327570,31500,350,1360000,752
09/22 21:13,01:42,@putrikuss_,327570,31500,34650,1360000,743
09/23 10:06,02:03,@putrikuss_,327570,31500,43050,1970000,1330
09/24 10:17,01:45,@putrikuss_,327570,31500,31470,1670000,832
09/24 18:57,01:36,@putrikuss_,327570,31500,23760,1670000,627
09/25 10:21,01:48,@putrikuss_,327570,31500,29230,16880,20
09/25 18:52,01:32,@putrikuss_,327570,31500,76,0,0
09/26 09:04,03:01,@putrikuss_,327570,31500,49790,2510000,2020
09/26 18:54,01:47,@putrikuss_,327570,31500,27730,2500000,1120
09/27 10:03,01:30,@putrikuss_,327570,31500,19770,1940000,612
09/27 19:02,01:30,@putrikuss_,327570,31500,24250,2330000,900
09/29 10:08,02:05,@putrikuss_,327570,31500,4750,1680000,1330
09/29 18:56,01:34,@putrikuss_,327570,31500,29570,1680000,827
09/30 09:51,02:18,@putrikuss_,327570,31500,41710,1210000,822
09/30 19:46,02:27,@putrikuss_,327570,31500,52680,1210000,1040
